TIME,Min,Max,Stdev,Mean,Median
1898-10-01,19.08,70.59,12.054174341952933,44.47731843575419,44.82
1899-10-01,13.425,55.475,9.117249331808877,36.68355679702049,37.77791666666667
1900-10-01,14.1225,55.73333333333334,11.748109138352826,34.734525139664804,33.65083333333334
1901-10-01,13.525,53.38916666666668,10.948942772316773,31.829501862197382,30.70750000000001
1902-10-01,10.413333333333332,52.40166666666668,11.700545528695374,29.515856610800757,28.751666666666665
1903-10-01,7.905833333333333,51.4925,12.544071309610366,27.446080074487902,27.25125
1904-10-01,2.6633333333333336,49.95499999999999,13.822278332785743,25.0582076350093,24.947020484171315
1905-10-01,-2.681666666666667,50.24833333333333,15.414949196665201,25.055353817504653,25.46333333333333
1906-10-01,-3.2775,57.45,17.016599931028036,31.820935754189932,32.968333333333334
1907-10-01,-1.0733333333333333,57.49666666666666,15.619181991295347,33.881643389199226,34.840833333333336
1908-10-01,-3.918333333333333,54.21416666666666,14.972872435242401,30.264227188081936,30.675000000000004
1909-10-01,-8.650833333333333,51.42416666666667,15.315299447472151,27.162546554934828,27.81791666666666
1910-10-01,-10.799999999999995,52.639166666666654,16.395186061374947,27.792881750465554,28.82333333333333
1911-10-01,-12.905,50.270833333333336,16.17075526826696,25.01222067039107,26.410833333333336
1912-10-01,-18.265,46.81583333333333,16.29534120420855,19.730935754189943,21.349999999999998
1913-10-01,-23.2925,47.52,18.23203237212491,19.522830540037234,21.304583333333333
1914-10-01,-23.75333333333333,50.83916666666667,19.507924192792736,22.73682029795157,24.540416666666665
1915-10-01,-22.89333333333333,57.78083333333334,19.960677906905058,26.966373370577276,28.418750000000003
1916-10-01,-24.05583333333333,55.03666666666667,18.967160219132502,25.483165735567972,27.022916666666664
1917-10-01,-26.64833333333333,47.793333333333344,18.374201284482943,20.946010242085666,22.63
1918-10-01,-29.7375,46.52583333333333,18.96163104731755,18.46763966480447,20.66375
1919-10-01,-34.24583333333333,43.46166666666667,19.147472075418225,13.78501862197393,16.680833333333332
1920-10-01,-37.6375,41.1475,19.587685682395197,11.49635474860335,14.688333333333336
1921-10-01,-39.27,40.69166666666667,20.150176149167994,10.500037243947865,13.282499999999999
1922-10-01,-42.024166666666666,39.8075,20.986087898821207,9.261350093109883,12.472916666666666
1923-10-01,-45.74916666666667,36.115,20.54756589170134,4.40969273743017,8.378749999999998
1924-10-01,-50.8325,31.562500000000004,20.52306307442249,-0.10887802607076472,5.017916666666667
1925-10-01,-54.21750000000001,29.769166666666667,20.779665499458957,-3.137811918063312,1.3458333333333334
1926-10-01,-58.32916666666665,29.654166666666672,22.440567089440773,-4.559175977653628,-0.4108333333333334
1927-10-01,-62.252500000000005,27.3725,22.70641350436102,-7.690083798882681,-2.87625
1928-10-01,-67.46666666666665,18.686666666666667,21.233771079568836,-15.314576350093107,-9.763750000000002
1929-10-01,-72.58166666666666,13.891666666666666,21.220359764331292,-19.841457169459954,-13.815000000000001
1930-10-01,-78.19166666666666,8.647499999999999,21.15540422593678,-25.78312383612664,-19.303749999999994
1931-10-01,-84.36666666666666,4.842500000000001,21.850237680132143,-30.600917132215994,-24.421666666666667
1932-10-01,-88.61666666666666,2.249166666666668,22.15132004538875,-34.811722532588455,-29.019999999999996
1933-10-01,-93.89,-3.4516666666666667,21.64390531194402,-40.23717877094972,-34.073750000000004
1934-10-01,-98.3825,-6.634166666666666,21.85995708070233,-44.48912011173183,-38.51041666666667
1935-10-01,-99.32999999999998,-4.066666666666666,23.738992215312877,-43.749711359404095,-38.93875
1936-10-01,-101.09333333333336,-2.2266666666666666,24.86960859342169,-42.657937616387336,-37.98708333333333
1937-10-01,-101.94166666666666,-0.2991666666666666,26.091705473113116,-40.108063314711345,-35.535
1938-10-01,-102.69,-2.606666666666667,24.86984304574893,-41.47438547486033,-36.35583333333334
1939-10-01,-105.1975,-4.910833333333334,23.952391716847572,-44.97878491620113,-38.97666666666666
1940-10-01,-105.20750000000002,0.6641666666666662,26.884705409845942,-39.475847299813765,-34.04666666666667
1941-10-01,-100.78916666666667,9.140833333333331,29.177498217419668,-30.457816573556798,-26.59708333333333
1942-10-01,-99.69583333333333,8.375,27.54412181314797,-28.606424581005594,-23.434583333333336
1943-10-01,-100.195,6.330833333333334,25.658542644378326,-31.388356610800738,-25.145833333333332
1944-10-01,-101.57583333333332,2.867500000000001,24.896215341260124,-34.851652700186214,-27.831666666666663
1945-10-01,-103.41833333333334,-0.3599999999999996,24.27564578512225,-38.48896648044693,-31.431666666666665
1946-10-01,-106.43000000000002,-4.2675,23.671563976869837,-43.62155493482309,-36.99583333333333
1947-10-01,-110.3475,-9.061666666666667,23.658900142729088,-48.67062849162011,-41.86916666666667
1948-10-01,-114.7125,-16.156666666666666,23.012026439445254,-54.6336592178771,-48.2625
1949-10-01,-119.65500000000002,-19.869166666666665,23.675440981117035,-60.026284916201135,-54.26916666666666
1950-10-01,-122.18583333333336,-13.059166666666664,27.743780257967945,-56.78236499068903,-51.741249999999994
1951-10-01,-122.10916666666668,-12.348333333333333,27.64566181245361,-54.62128491620114,-48.99499999999999
1952-10-01,-122.80333333333331,-15.951666666666666,26.086843922720742,-57.06956703910615,-50.81041666666667
1953-10-01,-125.515,-20.791666666666664,24.43354919906349,-62.241368715083745,-55.53291666666667
1954-10-01,-128.80249999999998,-24.03333333333333,24.293416698337992,-66.47226722532592,-60.14166666666667
1955-10-01,-130.97333333333333,-19.798333333333336,28.416953084163563,-63.59218342644318,-59.42375
1956-10-01,-131.51916666666668,-21.1275,27.773303342048077,-63.690069832402244,-58.411666666666676
