TIME,Baseline,Initial,Intermediate,Robust
1899-09-30,47.766790353960005,47.766790353960005,47.766790353960005,47.766790353960005
1900-09-30,54.68494948434,54.674790660359996,54.674790660359996,54.674790660359996
1901-09-30,55.78718188617,55.58400540657,54.60367889249999,54.22272299324999
1902-09-30,58.04752022172,57.8037084462,56.72687310432,56.25956720124
1903-09-30,59.12943497559,58.865305552109994,57.77323197426,57.285608423220005
1904-09-30,60.18087325751999,59.88626736210001,58.84498790414999,58.3624437651
1905-09-30,61.52183802288001,61.19167624353,60.13007913762,59.67293205851999
1906-09-30,60.96310270398,60.56182915677,59.576423230710006,58.95165555594001
1907-09-30,58.49958788883001,57.9560908059,56.752270164269994,55.86845247801
1908-09-30,59.90658501006,59.261499687329994,57.966249629880004,57.026558411729994
1909-09-30,61.13072329964999,60.439923269009995,59.04816438375,58.11863198958
1910-09-30,61.80628509432,61.09008800373,59.69832911846999,58.77387613628999
1911-09-30,61.323740955270004,60.439923269009995,58.7687967243,57.35672019108
1912-09-30,62.608832188739996,61.65898214661,59.78975853429,58.32688788117
1913-09-30,64.40186462121,63.43169693111999,61.55231449482,60.08944384169999
1914-09-30,64.14281460971999,63.14217044769,61.323740955270004,59.90150559807
1915-09-30,62.70534101655,61.59802920272999,59.80499677026,58.25577611330999
1916-09-30,62.44629100506,61.19167624353,58.789114372259995,57.12306723954
1917-09-30,62.98978808799,61.70977626651,59.297055571259996,57.63100843854
1918-09-30,63.75169988649,62.45644982904,60.04880854578,58.39799964903
1919-09-30,65.09774406384,63.792335182410014,61.440567431039995,59.81515559424
1920-09-30,66.70283825268001,65.39234995926,63.11677338774,61.52183802288001
1921-09-30,66.62156766083999,65.23488818757,62.91359690814,61.110405651690016
1922-09-30,67.90157948232,66.45394706517001,64.01074989797999,62.17708216959
1923-09-30,67.41903534327,65.95108527816001,63.57392046684001,61.79612627034
1924-09-30,69.5371501431,68.06920007799,65.74282938657,63.995511662009996
1925-09-30,70.04001193010998,68.56190304101999,66.27108823353001,64.56948521688
1926-09-30,71.44192963935002,69.96382075026001,67.70348241471,66.03235587
1927-09-30,72.40193850546,70.91367079239001,68.71428540072,67.08379415193001
1928-09-30,73.92068269047,72.43241497739999,70.26858546966,68.66349128082
1929-09-30,75.55117393926,74.06290622619001,71.93463260237999,70.36001488548
1930-09-30,77.60833579521,76.10990925816,74.01719151827999,72.47812968531
1931-09-30,80.70169769712,79.19311233609001,77.13595048014,75.64768276707001
1932-09-30,82.27123600203001,80.75757122901,78.74104466898001,77.28833283984
1933-09-30,83.80013901102001,82.29155364998999,80.30550356189998,78.88326820470002
1934-09-30,86.15190676239,84.62808316539001,82.66743013725,81.26551242801
1935-09-30,87.02556562467,85.49666261567998,83.56648605948,82.19504482218
1936-09-30,86.73603914124,85.12078612842001,82.99759191659999,81.17916242417999
1937-09-30,87.29477446014,85.59317144349,83.42426252376002,81.38741831576999
1938-09-30,85.94873028279,84.19125373425,82.02234481452001,79.78740353892
1939-09-30,87.20334504432,85.42555084782002,83.27188016406,80.98106535657
1940-09-30,87.54874505964,85.74047439120001,83.61728017938,81.34170360785998
1941-09-30,84.03887137454998,82.13917129029001,79.85851530677999,77.49150931944
1942-09-30,83.12457721634999,81.08265359637,77.97913287048,75.62228570711999
1943-09-30,82.56076248546,80.48836239353999,77.28325342785,74.96704156041001
1944-09-30,83.89664783882998,81.79377127497,78.6292976052,76.3435622097
1945-09-30,84.04395078654,81.92583598671,78.81723584883001,76.56705633726001
1946-09-30,84.85665670494,82.73854190510998,79.70105353509001,77.49150931944
1947-09-30,86.50238618970002,84.37919197788001,81.41789478771,79.24390645599
1948-09-30,87.85858919102999,85.74047439120001,82.85028896889001,80.71693593309
1949-09-30,89.6008275036,87.49795093974001,84.66871846131001,82.56584189745001
1950-09-30,91.66306877154001,89.55511279569001,86.79699208512,84.72967140518999
1951-09-30,91.05353933273999,88.86431276505,85.82682439503,83.52077135156999
1952-09-30,89.9563863429,87.62493623949,84.36903315389999,81.58043597138999
1953-09-30,91.18052463248999,88.82367746912999,85.55253614757,82.64203307729998
1954-09-30,92.64339528561,90.28146871026,87.02048621268,84.08458608245999
1955-09-30,93.89293063515,91.52592464780999,88.29033921018001,85.35951849195001
1956-09-30,92.73990411342,90.23575400235,86.36524206597,83.34807134391001
1957-09-30,94.12658358669002,91.61735406362999,87.63509506346999,84.6230037534
1958-09-30,92.52148939785,89.91067163499,85.85730086697,82.88076544082999
1959-09-30,93.60340415172,90.99258638886,86.98493032875,84.04903019853
1960-09-30,96.1024748508,93.50181591192002,89.56527161967001,86.66492737338001
1961-09-30,98.14439847077999,95.53866011991,91.65798935954999,88.7881215852
1962-09-30,99.3025044045,96.69168664164002,92.88212764914002,90.06305399469
1963-09-30,98.82503967744,96.22438073855999,92.50117174989,89.73797162733
1964-09-30,100.18632209076,97.60598079983998,93.969121815,91.26179522433
1965-09-30,99.92219266727999,97.28089843247999,93.50181591192002,90.73353637737
1966-09-30,101.66951039183999,99.03837498102,95.26945128444,92.53164822183
1967-09-30,101.44093685229001,98.79964261749001,95.09675127678,92.39958351009
1968-09-30,102.95460162531,100.31838680249999,96.68152781766001,94.03515417087
1969-09-30,99.99838384712999,97.26566019651001,93.37483061217,90.46940695389
1970-09-30,100.93299565329002,98.08852493889,93.94372475505001,90.89607756104999
1971-09-30,101.84728981148999,98.99266027310999,94.84786008926999,91.78497465929999
1972-09-30,103.64032224395999,100.79077211757,96.68152781766001,93.63896003564999
1973-09-30,103.56413106410999,100.69934270174998,96.67136899368,93.67451591958
1974-09-30,104.15842226694,101.29871331657,97.36724843630999,94.43642771808
1975-09-30,104.60541052205998,101.73554274771,97.87011022332,94.985004213
1976-09-30,105.91081940349,103.05618986510999,99.25678969659,96.41231898219
1977-09-30,109.84228428375,107.02321062930001,103.25428693271998,100.45045151423999
1978-09-30,108.18131656301998,105.35716349657999,101.67966921582,98.94694556520001
1979-09-30,109.02957836534998,106.2105047109,102.59904278601002,99.90695443130998
1980-09-30,107.65813712805002,104.69176052589002,100.45553092623001,97.68217197969
1981-09-30,109.43593132455,106.45939589841,102.08602217501998,99.32282205246
1982-09-30,106.24098118284002,103.15777810491001,98.71837202565,95.79771013140001
1983-09-30,101.31903096453001,98.08852493889,93.11578060068001,89.9563863429
1984-09-30,102.41110454238002,99.04345439301001,93.67451591958,90.26623047429001
1985-09-30,103.87905460749,100.49616622215001,95.08151304081,91.60719523965001
1986-09-30,102.34507218651002,98.89107203331,93.32911590426001,89.83448045514001
1987-09-30,103.97556343529999,100.50632504612999,94.96468656504001,91.48528935189
1988-09-30,106.4136811905,102.93936338933999,97.43328079217999,93.95896299101999
1989-09-30,107.66829595203,104.18889873888001,98.74884849759,95.31008658036
1990-09-30,109.8168872238,106.35780765860999,100.96855153722001,97.55518667994001
