TIME,Baseline,Initial,Intermediate,Robust
9/30/1899,183.07,183.07,183.07,183.07
9/30/1900,185.88,185.8,185.8,185.8
9/30/1901,183.67,182.25,177.14,175.2
9/30/1902,185.32,184.06,179.76,177.93
9/30/1903,185.39,184.11,180.36,178.71
9/30/1904,184.4,182.94,179.61,178.13
9/30/1905,184.1,182.47,178.81,177.44
9/30/1906,179.93,177.84,174.53,171.8
9/30/1907,174.45,171.51,167.09,163.21
9/30/1908,173.85,170.46,165.7,161.78
9/30/1909,174.26,171.05,165.88,162.37
9/30/1910,175.56,172.41,167.64,164.42
9/30/1911,172.4,168.19,161.95,155.79
9/30/1912,174.02,169.85,162.98,157.45
9/30/1913,178.14,174.15,167.84,162.89
9/30/1914,176.51,172.43,166.54,162.06
9/30/1915,173.39,168.57,162.72,157.37
9/30/1916,172.45,166.98,158.13,151.89
9/30/1917,173.07,167.93,159.92,154.23
9/30/1918,175.27,170.32,162.72,157.46
9/30/1919,178.38,173.51,166.4,161.42
9/30/1920,181.21,176.44,169.73,165
9/30/1921,181.52,176.06,168.95,162.92
9/30/1922,183.17,177.4,169.48,163.47
9/30/1923,182.64,176.92,169.44,163.83
9/30/1924,187.24,181.75,174.66,169.34
9/30/1925,188.89,183.37,176.58,171.49
9/30/1926,192.4,187,180.44,175.56
9/30/1927,195.34,189.99,183.64,178.92
9/30/1928,198.85,193.54,187.27,182.61
9/30/1929,202.81,197.57,191.5,186.99
9/30/1930,206.3,201.08,195.15,190.76
9/30/1931,214.93,209.73,203.98,199.81
9/30/1932,218.23,212.99,207.31,203.27
9/30/1933,221.48,216.34,210.78,206.83
9/30/1934,227.3,222.16,216.72,212.86
9/30/1935,228.96,223.82,218.47,214.69
9/30/1936,228.18,222.4,215.93,209.57
9/30/1937,228,221.76,215.36,208.61
9/30/1938,224.88,218.32,211.77,204.05
9/30/1939,227.54,221.09,214.76,207.4
9/30/1940,227.78,221.35,215.27,208.45
9/30/1941,222.9,215.66,208.65,201.21
9/30/1942,220.36,212.34,201.39,193.95
9/30/1943,219.84,212.22,202.03,195.02
9/30/1944,221.28,213.68,204.24,197.6
9/30/1945,221.83,214.34,205.45,199.08
9/30/1946,224.24,216.89,208.36,202.25
9/30/1947,227.39,220.16,212.07,206.18
9/30/1948,230.66,223.59,215.81,210.11
9/30/1949,234.5,227.62,220.12,214.58
9/30/1950,237.95,231.18,223.98,218.57
9/30/1951,237.68,230.22,221.14,214.19
9/30/1952,234.8,226.35,216.48,207.01
9/30/1953,236.85,228.81,219.42,210.39
9/30/1954,240.01,232.19,223.27,214.86
9/30/1955,242.89,235.16,226.53,218.42
9/30/1956,240.6,231.86,219.85,210.89
9/30/1957,243.47,235.15,223.73,215.24
9/30/1958,241.85,232.85,221.36,213.08
9/30/1959,244.89,236.21,225.35,217.42
9/30/1960,248.41,239.97,229.69,222.1
9/30/1961,254.03,245.79,235.91,228.57
9/30/1962,255.75,247.53,237.97,230.85
9/30/1963,255.56,247.49,238.29,231.38
9/30/1964,258.28,250.4,241.51,234.8
9/30/1965,258.01,249.57,239.72,232.52
9/30/1966,260.41,252.22,242.75,235.81
9/30/1967,258.97,250.85,241.73,235.03
9/30/1968,262.08,254.13,245.31,238.81
9/30/1969,257.9,248.87,238.36,230.02
9/30/1970,258.91,249.36,238,229.14
9/30/1971,261.27,252.12,241.31,232.91
9/30/1972,264.4,255.59,245.24,237.21
9/30/1973,263.87,254.99,245.01,237.33
9/30/1974,264.45,255.75,245.98,238.58
9/30/1975,264.11,255.42,245.9,238.65
9/30/1976,267,258.54,249.39,242.38
9/30/1977,276.23,267.97,259.17,252.53
9/30/1978,274.43,266,257.29,250.69
9/30/1979,274.42,266.03,257.58,251.13
9/30/1980,273.03,263.44,251.66,244.31
9/30/1981,275.73,266.52,255.2,248.12
9/30/1982,271.91,261.87,250.2,241.96
9/30/1983,264.76,253.55,238.54,229.13
9/30/1984,264.88,253.31,237.11,226.54
9/30/1985,266.75,255.67,240.36,230.27
9/30/1986,264.74,253.05,237.11,227.09
9/30/1987,267.01,255.77,240.67,231.08
9/30/1988,271.72,260.81,246.63,237.45
9/30/1989,274.64,263.94,250.35,241.52
9/30/1990,279.24,268.79,255.77,247.33
9/30/1991,281.17,270.88,258.26,250.11
9/30/1992,285,274.86,262.7,254.87
9/30/1993,282.93,272.63,260.75,252.24
9/30/1994,284.38,274.24,262.75,254.62
9/30/1995,280.75,269.92,257.82,249.27
9/30/1996,279.85,268.7,256.69,247.69
9/30/1997,277.56,265.52,249.95,240.12
9/30/1998,272.94,260.25,244.65,233.56
9/30/1999,273.51,261.27,246.45,235.76
