TIME,3267,3268,3269,3353,3354,3438,3439,3445,3530,3533,3611,3613,3614,3615,3616,3688,3689,3690,3691,3760,3761,3762,3763,3835,3837,3838,3839,3843,3844,3906,3908,4178,4372,4373,4374,4375,DAC_AVERAGE
1898-10-01,43.32,44.25,47.12,54.22,55.27,62.78,66.29,77.37,73.8,79.98,78.91,78.88,81.86,83.07,83.65,73.45,79.64,77.21,79.02,73.11,65.37,65.9,68.97,58.5,72.15,79.05,80.4,67.84,57.74,62.23,70.0,-6.39,45.77,44.32,33.77,24.6,63.42833333333335
1899-10-01,47.21083333333334,46.36666666666667,49.953333333333326,54.73666666666666,54.98333333333334,59.54833333333334,61.24583333333334,75.57999999999998,71.4875,77.66166666666668,73.34666666666666,75.1775,77.2125,77.185,79.42499999999998,70.08416666666668,73.47583333333334,73.68833333333333,75.66166666666665,68.17333333333335,65.52416666666666,67.29666666666668,69.905,61.97750000000001,69.07416666666667,74.79,77.14,67.42166666666667,60.38249999999999,59.14666666666668,63.18916666666666,-0.3166666666666666,32.032500000000006,31.83416666666666,30.3675,26.867500000000003,61.07879629629628
1900-10-01,55.77250000000001,53.440000000000005,55.532500000000006,57.315000000000005,56.72166666666667,59.46083333333333,59.66166666666667,72.35499999999999,67.26666666666667,73.79333333333334,68.56083333333333,70.32416666666666,72.66000000000001,72.79416666666667,76.15999999999998,66.47500000000001,68.84500000000001,70.38000000000001,72.93833333333335,64.14416666666666,63.429166666666674,66.05250000000001,67.75333333333334,61.11500000000001,67.37916666666666,72.11333333333333,74.90583333333332,71.10416666666667,66.505,52.34416666666667,57.00916666666666,2.585833333333333,21.531666666666663,21.758333333333336,23.011666666666667,22.02083333333333,59.033888888888896
1901-10-01,59.83333333333332,57.57833333333334,58.58833333333333,58.8325,57.9175,59.519166666666656,59.18416666666668,71.46583333333332,64.15333333333332,71.70583333333333,64.99916666666667,67.02083333333333,69.84916666666666,70.005,74.03333333333335,62.769166666666656,65.1125,67.04083333333334,70.22499999999998,60.45166666666668,60.05583333333334,62.94416666666667,64.24249999999999,57.80166666666667,64.495,69.67916666666667,72.75333333333333,73.04833333333333,69.65666666666668,47.1,52.329999999999984,-3.273333333333333,16.91,16.62666666666667,17.289166666666667,17.66333333333333,56.93354166666667
1902-10-01,59.5275,58.080000000000005,58.81333333333331,58.4975,57.9275,58.671666666666674,58.29166666666668,71.88333333333334,62.24249999999999,70.58333333333333,62.21666666666666,64.365,67.59833333333334,67.52333333333333,71.96916666666667,59.458333333333336,61.931666666666665,63.83666666666665,67.32083333333333,57.259166666666665,56.64583333333332,59.508333333333326,60.75083333333334,54.37166666666666,61.017500000000005,66.1975,69.53333333333335,71.395,69.10083333333334,43.321666666666665,48.78,-9.6375,14.024166666666666,13.1,12.8775,13.241666666666662,54.50627314814814
1903-10-01,60.90583333333334,59.740833333333335,59.9675,58.99666666666667,58.725,58.59916666666666,58.32666666666668,73.32249999999999,61.64083333333334,70.77916666666665,60.984166666666674,63.32833333333332,66.86416666666668,66.62666666666668,71.41166666666666,57.8475,60.54666666666666,62.5275,66.205,55.36083333333334,54.66916666666666,57.695,59.19333333333333,52.10416666666668,58.98833333333332,64.32833333333332,68.14583333333333,71.50916666666667,70.00500000000001,40.556666666666665,46.2875,-12.168333333333331,11.020833333333334,9.4875,8.5575,8.930833333333332,53.389374999999994
1904-10-01,62.85416666666666,61.84,61.54083333333333,59.984166666666674,60.00416666666667,59.04833333333334,58.954999999999984,74.98916666666668,61.790833333333325,71.59,60.71666666666667,63.2925,67.05416666666667,66.71583333333334,71.72666666666665,57.17249999999999,60.193333333333335,62.2475,66.07333333333334,54.15666666666667,53.49333333333333,56.77,58.61249999999999,50.44166666666666,57.615833333333335,63.19166666666666,67.57083333333334,72.11083333333333,71.25333333333334,38.16666666666666,44.13416666666666,-14.350833333333334,7.369166666666666,5.328333333333333,3.806666666666666,4.2558333333333325,52.825439814814814
1905-10-01,64.45666666666666,63.69583333333333,63.025000000000006,61.031666666666666,61.27000000000001,59.67000000000001,59.71166666666667,76.79166666666667,62.2475,72.67,60.89750000000001,63.71583333333334,67.61916666666666,67.18833333333333,72.315,57.035,60.39166666666666,62.56250000000001,66.41,53.32750000000001,52.72416666666667,56.3,58.67666666666667,49.11166666666666,56.38166666666666,62.15166666666666,67.13416666666666,73.40499999999999,73.81833333333334,36.57,42.48416666666667,-15.8125,4.8725,1.8733333333333335,-0.5833333333333335,-0.3941666666666666,52.631828703703704
1906-10-01,66.05666666666666,65.77,64.77499999999999,62.51333333333333,63.80083333333334,60.76166666666668,61.47416666666667,79.14916666666666,63.44,74.29916666666666,61.8125,64.9425,68.83833333333334,68.31416666666667,73.41749999999999,57.62833333333333,61.35,63.598333333333336,67.38000000000001,53.199166666666656,52.74,56.57916666666668,59.48833333333334,48.63083333333333,55.88583333333335,61.92,67.33083333333333,77.42166666666667,79.86,36.97833333333333,42.27083333333333,-13.663333333333332,7.249166666666666,2.625,-1.018333333333333,-0.2049999999999999,53.79483796296296
1907-10-01,67.55416666666667,68.10916666666667,66.74416666666666,64.24833333333335,66.21249999999999,62.18333333333333,63.38166666666666,81.3275,64.8325,75.895,62.6675,66.0075,69.98833333333333,69.22749999999999,74.2525,57.93000000000001,61.95249999999999,63.95499999999999,67.69583333333334,53.3725,52.76,56.47,59.5425,48.32749999999999,55.38666666666666,61.43333333333334,67.015,79.70916666666668,83.37249999999999,36.515,41.9575,-13.916666666666666,9.099166666666669,4.036666666666667,-0.3633333333333334,2.8125,54.769305555555576
