TIME,Min,Max,Stdev,Mean,Median
1898-10-01,-22.85,1145.0,85.93610112198847,82.93731054747914,61.11
1899-10-01,-9.4075,1146.645,87.33009288914994,86.33210640272193,62.24166666666667
1900-10-01,-7.6175,1147.0708333333334,88.57118708161222,93.72028624084918,70.17833333333333
1901-10-01,-13.815833333333332,1146.7825,88.99641537945249,91.67490810908345,68.64166666666667
1902-10-01,-35.66666666666666,1146.6074999999998,89.6293136095273,90.14940947520365,66.08166666666666
1903-10-01,-49.94916666666666,1146.4791666666667,90.06380626284721,90.45833990617575,65.94833333333332
1904-10-01,-65.58333333333333,1146.3808333333334,90.63769347345088,90.65646638828746,65.64416666666665
1905-10-01,-77.88250000000001,1146.3425,91.18724667880849,93.17983619445312,67.77083333333333
1906-10-01,-77.225,1146.3583333333331,91.93776830916623,98.55011844004488,73.41250000000001
1907-10-01,-76.30166666666668,1146.36,91.50165157220123,99.872337869883,75.28916666666667
1908-10-01,-86.20416666666667,1146.2716666666668,91.39267288887078,97.42474713888008,71.96249999999999
1909-10-01,-96.9675,1146.2133333333336,91.50160487299372,94.03441823899381,67.62166666666666
1910-10-01,-100.50416666666668,1146.1783333333335,92.16255036833299,96.66010606763572,70.50166666666667
1911-10-01,-102.8125,1146.1308333333334,92.16882571797457,95.3439466697597,69.12583333333333
1912-10-01,-115.30083333333332,1146.0775,92.25674759871427,90.73683304979876,63.19999999999999
1913-10-01,-127.0225,1146.0508333333332,93.05611647543827,91.15674889163841,63.62583333333333
1914-10-01,-121.72333333333334,1146.0508333333337,93.55889886651636,95.70580472213655,69.31083333333333
1915-10-01,-118.02583333333337,1146.0425,93.20935876870142,98.78885619651484,73.18833333333333
1916-10-01,-123.24916666666668,1145.9791666666663,92.97464277747846,95.098291963089,69.72666666666667
1917-10-01,-127.46250000000002,1145.9466666666667,93.1061172935031,92.6798907103823,65.56583333333334
1918-10-01,-133.2741666666667,1145.9125,93.0012194369035,90.31242241468229,62.77166666666667
1919-10-01,-136.94416666666663,1145.8825,93.22087531443972,88.30906201670271,60.91416666666668
1920-10-01,-141.48083333333332,1145.8525000000002,93.684964248912,88.68426616145986,61.28416666666666
1921-10-01,-141.93583333333336,1145.8266666666666,93.84827647533143,88.69509124652035,61.905
1922-10-01,-140.815,1145.8166666666666,94.18126675271424,87.80721466130501,61.11833333333333
1923-10-01,-142.92916666666665,1145.7966666666669,94.64505340825123,84.59851775956292,57.689166666666665
1924-10-01,-143.5666666666667,1145.7658333333336,95.09309552996802,81.74877835343842,53.82750000000001
1925-10-01,-148.6808333333333,1145.7441666666666,95.62198210056161,80.46227987421388,53.25166666666666
1926-10-01,-150.485,1145.7249999999997,95.85500811695876,79.34285416022242,52.59333333333333
1927-10-01,-150.31583333333333,1145.7075000000002,95.91265154799865,78.29248015259317,52.455000000000005
1928-10-01,-153.25583333333333,1145.6925000000003,97.03496833446474,75.02724804103501,48.9425
1929-10-01,-156.0775,1145.6758333333337,97.85479594044834,72.20904745334596,45.11333333333334
1930-10-01,-159.42000000000002,1145.6616666666666,98.98128618355163,68.55555237653353,40.92
1931-10-01,-161.98250000000002,1145.6474999999998,99.92598973152818,66.59459106608935,38.88916666666666
1932-10-01,-162.63916666666668,1145.6350000000004,100.25349261707885,65.86751675430452,39.42416666666667
1933-10-01,-161.67,1145.6224999999995,100.92112040997954,63.543622280647476,37.365
1934-10-01,-162.22916666666669,1145.61,101.87166236377766,61.90540661408377,35.80833333333334
1935-10-01,-162.895,1145.6033333333337,101.80300674419475,65.61258815341813,39.79083333333333
1936-10-01,-161.4575,1145.6149999999998,101.13451699643255,67.87425391792974,41.90416666666667
1937-10-01,-158.98083333333332,1145.6158333333333,100.40804432173438,73.04828178162727,46.10583333333333
1938-10-01,-159.49583333333334,1145.5933333333337,99.45685557669563,71.2697962418806,43.64833333333333
1939-10-01,-161.85166666666666,1145.59,99.94337252410776,70.02344880915581,43.4125
1940-10-01,-158.44583333333333,1145.6533333333334,99.99113942988578,75.50626726982156,49.315
1941-10-01,-155.28583333333336,1145.7325,98.82938734687285,83.10588656047015,56.93666666666667
1942-10-01,-157.5475,1145.6925,98.09622197338392,80.19499420043321,53.16583333333333
1943-10-01,-159.17416666666665,1145.6591666666666,98.59127920898045,78.10436965151058,51.373333333333335
1944-10-01,-160.31249999999997,1145.6416666666669,98.88140497750311,75.42507410557783,49.19166666666667
1945-10-01,-159.47833333333332,1145.6308333333336,99.31891118619191,73.73726904835553,47.88833333333333
1946-10-01,-160.21916666666667,1145.6199999999997,99.53928702051734,70.91959699453551,45.96083333333334
1947-10-01,-162.18749999999997,1145.6133333333337,100.35560514863143,68.10173368388494,44.01666666666666
1948-10-01,-161.7825,1145.6,101.36721663381279,64.85588063202368,40.72666666666667
1949-10-01,-162.215,1145.585,102.30259982542444,62.72792775028352,38.23166666666666
1950-10-01,-162.29083333333332,1145.570833333333,101.7240592355382,68.5081751984739,44.125
1951-10-01,-162.035,1145.5708333333332,101.43427999885279,70.68306745540777,46.0
1952-10-01,-162.1941666666667,1145.5674999999997,101.0240823275476,69.10528404990188,43.755
1953-10-01,-163.17333333333332,1145.5524999999998,101.71075151067878,65.67864818537997,41.25166666666667
1954-10-01,-163.22,1145.5408333333337,102.60591132585036,63.6785702134243,40.27583333333334
1955-10-01,-162.59583333333333,1145.543333333333,101.69484819303857,70.09918986493444,45.9675
1956-10-01,-162.69666666666663,1145.5408333333337,101.4366052586599,67.77521316630587,43.42583333333334
1957-10-01,-162.12833333333336,1145.559166666667,101.44054250900491,70.4630206722344,45.79749999999999
