TIME,Min,Max,Stdev,Mean,Median
1898-10-01,-69.44,235.43,39.87947581215369,55.71091865140753,51.87
1899-10-01,-60.95,236.8925,41.46863364322429,54.275668496752196,50.4575
1900-10-01,-65.94083333333334,275.84,47.43483887865211,56.38093179709267,53.68083333333333
1901-10-01,-74.05666666666666,316.04833333333335,50.3498372681871,54.64079737601829,52.00416666666669
1902-10-01,-82.01916666666666,324.24583333333334,52.08351121369571,52.347932776574666,50.15416666666667
1903-10-01,-88.22583333333331,331.4391666666667,53.652064006656936,51.26933382307462,49.26333333333334
1904-10-01,-94.0875,343.1258333333333,55.8430407991993,50.30509962367259,48.54666666666666
1905-10-01,-103.56083333333332,342.42833333333334,57.83914912533926,50.69166357356415,48.81833333333333
1906-10-01,-109.415,348.89333333333326,59.2722039911309,55.67324865965539,52.32500000000001
1907-10-01,-112.76833333333332,352.185,60.25985851873915,58.48103232292005,53.770833333333336
1908-10-01,-122.26916666666666,352.31749999999994,61.67443957546051,56.674136637797865,52.617500000000014
1909-10-01,-130.94166666666666,345.47583333333324,62.09939219938412,53.698833513764285,50.6375
1910-10-01,-135.37416666666667,350.58,63.33579481563769,54.46083384885034,51.37583333333333
1911-10-01,-142.96916666666667,348.8583333333333,64.29482994234542,53.701703526136654,50.2325
1912-10-01,-154.3875,338.30999999999995,65.1338226441902,48.689491313537346,46.48083333333333
1913-10-01,-162.1025,343.62416666666667,66.50341195937875,46.850120888751405,45.19833333333333
1914-10-01,-164.47583333333333,352.83666666666664,67.32101749357595,50.31577778636967,47.320833333333326
1915-10-01,-167.56916666666666,353.8066666666667,68.27668912024176,53.688325471697965,49.2375
1916-10-01,-172.42583333333332,351.6583333333333,68.60631177799986,51.85509975255181,48.16750000000001
1917-10-01,-178.4375,348.98749999999995,69.03964297384569,49.221281704299344,46.3575
1918-10-01,-184.43916666666664,338.2091666666667,69.25003132550124,46.57086452211584,45.14416666666667
1919-10-01,-192.3983333333333,336.8491666666667,69.93632270393002,43.028610294875826,42.140833333333326
1920-10-01,-199.06,344.29833333333335,71.0956097695341,41.65424206103735,41.56749999999999
1921-10-01,-204.5641666666667,348.7825,72.37770265541192,40.99428678214264,41.295
1922-10-01,-211.4858333333333,346.20000000000005,73.13878165792426,39.46126920301066,40.43416666666667
1923-10-01,-219.695,341.245,73.9712846564413,35.82324466439841,36.375
1924-10-01,-228.7875,335.9041666666667,75.02179268776528,31.60258016290335,32.54833333333334
1925-10-01,-235.22166666666664,337.9825,76.25667357454608,29.176921332096196,30.995833333333334
1926-10-01,-243.08333333333331,336.3,77.33398600773016,26.92046654294247,29.695000000000004
1927-10-01,-250.31583333333336,326.45833333333337,77.95002837694604,24.674507423445615,28.14583333333333
1928-10-01,-261.15916666666664,327.8325,79.31332018187135,19.8477257964739,23.551666666666662
1929-10-01,-270.77250000000004,323.1075,80.46998969582351,15.788021058871992,19.9025
1930-10-01,-281.115,325.9225,81.6761986074859,10.513258325600559,15.580833333333333
1931-10-01,-291.2541666666666,312.28333333333336,82.92871904021476,6.166757011032048,12.485833333333332
1932-10-01,-301.06749999999994,310.5325,84.53468760635566,3.4503528714300895,11.663333333333334
1933-10-01,-309.4791666666667,304.95,85.73068058181737,-0.2792281420765845,8.706666666666667
1934-10-01,-316.53000000000003,316.2300000000001,86.62308367205247,-3.662518945252078,6.1450000000000005
1935-10-01,-322.24,338.6691666666666,88.13996897612314,-2.5553434632436316,7.283333333333332
1936-10-01,-327.92833333333334,344.9725,89.38077438077406,-0.9077995154140103,9.534999999999998
1937-10-01,-332.6941666666667,347.07,90.25278801176135,3.069944968553463,13.80833333333333
1938-10-01,-337.7383333333333,345.5233333333333,90.14851150349538,3.5626903546757425,14.468333333333334
1939-10-01,-343.45416666666665,339.59333333333336,90.74340711108475,1.9422677595628122,13.8625
1940-10-01,-344.7441666666666,348.5491666666667,91.44439781387302,6.126668986493475,18.67083333333333
1941-10-01,-341.58083333333326,351.1283333333334,92.09117821283536,13.805707418290575,24.543333333333333
1942-10-01,-343.13583333333327,349.97,91.89068225557371,14.378269022579667,24.9425
1943-10-01,-345.77416666666664,351.78,92.07589473086983,13.283719971131077,24.870833333333334
1944-10-01,-349.9158333333333,350.80583333333334,92.24750546285111,11.679817893597262,24.09833333333334
1945-10-01,-353.37416666666667,350.0425,92.71051111756933,10.169667749252447,23.19583333333333
1946-10-01,-359.12000000000006,336.00916666666666,93.13209745054152,6.789606402721822,20.360833333333336
1947-10-01,-366.34,325.7808333333333,94.24731366202955,2.813695097432719,17.684166666666666
1948-10-01,-373.04,316.7866666666667,95.25428504135047,-1.6429326476956752,13.86166666666667
1949-10-01,-381.19416666666666,322.2033333333333,96.53004761269521,-6.332579260748539,10.101666666666668
1950-10-01,-388.20666666666665,338.1091666666667,98.50917898312764,-4.459779874213882,12.484166666666663
1951-10-01,-392.9283333333333,345.2441666666667,99.33111855944595,-2.5965920455717706,14.6575
1952-10-01,-396.9125,344.80333333333334,99.30727888677195,-2.509470950613453,14.985
1953-10-01,-402.1533333333333,338.55083333333334,99.76679264151625,-5.645245772760111,12.527499999999996
1954-10-01,-406.7408333333333,332.4066666666667,100.64926185002756,-8.432158212186817,11.32
1955-10-01,-409.44250000000005,340.87833333333333,101.85934806086021,-6.095460098979294,13.155833333333335
1956-10-01,-411.2683333333334,342.80833333333334,101.88796517308083,-5.932404887101806,13.379166666666665
1957-10-01,-412.9358333333334,343.6658333333333,102.0376043836511,-4.8435337405917736,15.169999999999996
